x	y	nodetypes	nodenames	cx	cy
49.931841348302	25.9661458333333	tip	Sarracenia_oreophita	48.9935035466935	25.9661458333333
49.9344594783288	24.9505208333333	tip	Sarracenia_alabamensism_ssp_alabamensis	48.9960344057194	24.984375
49.9369903373548	23.96875	tip	Sarracenia_rubra_ssp_gulfensis	48.7975801496872	23.96875
49.9395211963807	22.9869791666667	tip	Sarracenia alabamensis_ssp_wherryi	48.6660627513405	22.9869791666667
49.9421393264075	21.9713541666667	tip	Sarracenia_alata	49.4059462969169	21.9713541666667
49.9447574564343	20.9557291666667	tip	Sarracenia_minor	49.4084771559428	20.9895833333333
49.9472883154602	19.9739583333333	tip	Sarracenia_rubra_ssp_rubra	49.5451435433423	19.9739583333333
49.9498191744861	18.9921875	tip	Sarracenia_jonesii	49.5476744023682	18.9921875
49.952437304513	17.9765625	tip	Sarracenia_leucophylla	47.8076651865505	17.9765625
49.9549681635389	16.9947916666667	tip	Sarracenia_flava	48.2123408176944	16.9947916666667
49.9575862935657	15.9791666666667	tip	Sarracenia_psittacina	48.2819830764075	15.9791666666667
49.9601171525916	14.9973958333333	tip	Sarracenia_purpurea_ssp_purpurea	49.5579723804736	14.9973958333333
49.9627352826184	13.9817708333333	tip	Sarracenia_purpurea_ssp_vensa_var_venosa	49.5605905105004	13.9817708333333
49.9652661416443	13	tip	Sarracenia_rosea	48.8258559539768	13
49.9678842716711	11.984375	tip	Heliamphora_neblinae	49.2976429848079	11.984375
49.970415130697	11.0026041666667	tip	Heliamphora_pulchella	49.3001738438338	11.0026041666667
49.9730332607239	9.98697916666665	tip	Heliamphora_minor	46.1526579256032	9.98697916666662
49.9755641197498	9.00520833333332	tip	Heliamphora_tatei	46.8924542001787	9.00520833333333
49.9781822497766	7.98958333333332	tip	Heliamphora_nutans	46.8950723302055	7.98958333333333
49.9807131088025	7.00781249999999	tip	Heliamphora_heterodoxa	44.55175868521	7.0078125
49.9833312388293	5.99218749999998	tip	Darlingtonia_californica	15.0637601932529	5.99218749999987
49.9858620978552	5.01041666666665	tip	Roridula_gorgonias	39.3290256367292	5.01041666666669
49.988480227882	3.99479166666665	tip	Roridula_dentata	39.331643766756	3.99479166666669
49.9910110869079	3.01302083333332	tip	Actinidia_deliciosa	44.4950325346291	3.01302083333334
49.9935419459339	2.03124999999998	tip	Actinidia_arguta	44.4976506646559	1.99739583333333
49.9961600759607	1.01562499999998	tip	Cyrilla_racemiflora	8.10607964700628	1.01562500000013
49.9987782059875	-2.1316282072803e-14	tip	Clethra_alnifolia	8.10869777703309	1.24344978758018e-13
-0.613340594280581	3.45312500000016	root		NA	NA
1.32267928954426	6.43229166666682	internal		-0.621020442359226	6.43229166666683
8.10738871201968	0.507812500000131	internal		-0.605748017202835	0.507812500000188
11.9199969280608	3.52083333333345	internal		1.33027186662201	3.48697916666657
15.0552076351653	9.30989583333344	internal		1.3152612544683	9.30989583333349
27.178022369303	12.6276041666667	internal		15.0466550770778	12.6276041666668
39.3303347017426	4.50260416666669	internal		11.9174660690349	4.50260416666678
41.1947923648347	9.24218750000001	internal		27.1867494693923	9.24218750000007
44.4963415996425	2.50520833333333	internal		11.9226150580876	2.50520833333345
44.5498387231903	7.75260416666667	internal		41.198632288874	7.75260416666668
45.8020030440125	16.0130208333333	internal		27.1692952692136	16.0130208333334
46.217674821269	10.765625	internal		41.1909524407953	10.7317708333334
46.8936759941912	8.53125	internal		44.5478314901698	8.53125000000001
47.0696143319928	18.28125	internal		45.7961558869526	18.28125
47.7352302558088	20.0755208333333	internal		47.0649889689455	20.0755208333333
48.064940097185	22.1744791666667	internal		47.7298194537533	22.1744791666667
48.2136498827078	16.4869791666667	internal		47.0742396950402	16.4869791666667
48.6637937053172	23.8671875	internal		47.9936396894549	23.8333333333333
48.7285487879803	24.7473958333333	internal		48.661524659294	24.7473958333333
48.8735931914656	20.4817708333333	internal		48.0693036472297	20.4817708333333
48.8909601206434	13.7447916666667	internal		45.8079374720733	13.7109375
48.994725340706	25.4921875	internal		48.7266288259607	25.4921875
49.3658889075067	11.5104166666667	internal		46.1488180015639	11.4765625
49.4071680909294	21.4973958333333	internal		48.8709750614388	21.4973958333333
49.4794284796693	19.4661458333333	internal		48.8761240504915	19.5
49.559281445487	14.4895833333333	internal		48.8220160299374	14.4895833333333
