x	y	nodetypes	nodenames	cx	cy
30	58.0000000000001	tip	Outgroup	-1.20535714285714	57.9444444444445
30	57.0000000000001	tip	Utricularia_westonii	25.3125	56.9444444444445
30	55.9444444444445	tip	Utricularia_tenella	27.6339285714286	55.9444444444445
30	55	tip	Utricularia_multifida	27.6339285714286	54.9444444444445
30	54	tip	Utricularia_paulineae	24.9107142857143	53.9444444444445
30	53	tip	Utricularia_menziesii	26.25	52.9444444444445
30	52	tip	Utricularia_violacea	28.3482142857143	51.9444444444445
30	51	tip	Utricularia_petertaylorii	24.9107142857143	51
30	50	tip	Utricularia_inaequalis	28.9732142857143	50
30	49	tip	Utricularia_benthamii	26.25	49
30	47.9444444444445	tip	Utricularia_helix	27.9464285714286	47.9444444444445
30	46.9444444444445	tip	Utricularia_volubilis	27.9464285714286	47
30	46.0000000000001	tip	Utricularia_blackmanii	28.1696428571429	45.9444444444445
30	45	tip	Utricularia_fistulosa	28.1696428571429	45
30	44	tip	Utricularia_linearis	27.8125	43.9444444444445
30	43.0000000000001	tip	Utricularia_triflora	26.875	42.9444444444445
30	42	tip	Utricularia_albiflora	27.7678571428571	41.9444444444445
30	41	tip	Utricularia_terrae-reginae	27.7678571428571	41
30	39.9444444444445	tip	Utricularia_singeriana	27.1428571428571	39.9444444444445
30	38.9444444444445	tip	Utricularia_hamiltonii	29.5535714285714	38.9444444444445
30	37.9444444444445	tip	Utricularia_sp_Kununurra	22.3660714285714	38
30	37	tip	Utricularia_sp_Theda	28.125	37.0000000000001
30	35.9444444444445	tip	Utricularia_byrneana	26.3839285714286	35.9444444444445
30	34.9444444444445	tip	Utricularia_tubulata	26.3839285714286	34.9444444444445
30	34	tip	Utricularia_barkeri	28.4375	34
30	33	tip	Utricularia_grampiana	28.4375	32.9444444444445
30	32	tip	Utricularia_sp_Foster	27.3214285714286	32
30	31.0000000000001	tip	Utricularia_fenshamii	28.1696428571429	31
30	30	tip	Utricularia_beaugleholei_ssp_A	29.4642857142857	30
30	29	tip	Utricularia_beaugleholei_ssp_A	29.4642857142857	29
30	28	tip	Utricularia_beaugleholei	28.8392857142857	28
30	27	tip	Utricularia_sp_Nowra	28.3482142857143	26.9444444444445
30	26	tip	Utricularia_ameliae	28.0357142857143	26
30	25	tip	Utricularia_novae-zelandiae	29.3303571428571	25
30	24	tip	Utricularia_dichotoma	29.6428571428571	24
30	23	tip	Utricularia_monanthos	29.6428571428571	22.9444444444445
30	22	tip	Utricularia_leptorhyncha	27.1875	22
30	21	tip	Utricularia_lasiocaulis	27.1875	21
30	20	tip	Utricularia_kamienskii	24.6428571428571	20
30	19	tip	Utricularia_rhododactylos	22.1428571428571	19
30	18	tip	Utricularia_arnhemica	23.3928571428571	18
30	17	tip	Utricularia_quinquedentata	25.5803571428571	16.9444444444445
30	16	tip	Utricularia_capilliflora	26.2053571428571	16
30	15	tip	Utricularia_cheiranthos	27.7232142857143	15
30	14	tip	Utricularia_holtzei	27.7232142857143	14
30	13	tip	Utricularia_dunstaniae	28.9732142857143	13
30	12	tip	Utricularia_lowriei	28.9732142857143	12
30	11	tip	Utricularia_antennifera	29.1071428571428	11
30	10	tip	Utricularia_sp_Bearded	29.1071428571428	10
30	9.00000000000003	tip	Utricularia_sp_Sandstone	26.7410714285714	9.00000000000001
30	8.00000000000001	tip	Utricularia_sp_Papilose	27.5892857142857	8.00000000000001
30	7.00000000000001	tip	Utricularia_kenneallyi	29.1964285714286	7.00000000000001
30	6.00000000000001	tip	Utricularia_tridactyla	29.1964285714286	6.00000000000001
30	5.00000000000001	tip	Utricularia_georgei	24.2410714285714	5.00000000000001
30	4	tip	Utricularia_kimberleyensis	24.2410714285714	4
30	3	tip	Utricularia_uniflora	23.75	3
30	2.00000000000001	tip	Utricularia_sp_Fanged	26.1607142857143	2
30	1	tip	Utricularia_dunlopii	28.7946428571429	1
30	0	tip	Utricularia_wannani	28.7946428571429	7.105427357601e-15
-1.25	50.7777777777778	root		NA	NA
14.1517857142857	43.5	internal		-1.20535714285714	43.5
17.1428571428571	30.7777777777778	internal		14.1964285714286	30.7777777777778
19.7767857142857	16.2777777777778	internal		17.1875	16.2777777777778
20.5357142857143	11.8333333333333	internal		19.7767857142857	11.8333333333334
21.25	5.72222222222222	internal		20.5803571428571	5.72222222222221
22.0982142857143	17.9444444444445	internal		20.5803571428571	17.9444444444445
22.3660714285714	45.2777777777778	internal		17.1875	45.2222222222223
22.9910714285714	3.33333333333334	internal		21.25	3.33333333333341
23.125	38	internal		29.5535714285714	38
23.3928571428571	16.8888888888889	internal		22.1428571428571	16.8333333333334
23.7946428571429	2.11111111111111	internal		22.9910714285714	2.11111111111115
24.2410714285714	4.5	internal		22.9910714285714	4.5
24.5982142857143	20.7777777777778	internal		19.7767857142857	20.7222222222222
24.9107142857143	33.3333333333334	internal		23.125	33.3333333333334
24.9107142857143	52.5	internal		22.3660714285714	52.4444444444445
25.2678571428571	56.2222222222223	internal		14.1964285714286	56.1666666666667
25.5803571428571	15.7777777777778	internal		23.3928571428571	15.7777777777778
26.0714285714286	42.6666666666667	internal		23.125	42.6111111111111
26.1607142857143	1.22222222222223	internal		23.75	1.22222222222224
26.2053571428571	31.2222222222223	internal		24.9553571428571	31.2222222222223
26.2053571428571	14.5	internal		25.5803571428571	14.5
26.25	51	internal		28.3482142857143	50.9444444444445
26.3839285714286	35.5	internal		24.9553571428571	35.5
26.6071428571429	40.5555555555556	internal		26.0714285714286	40.5555555555557
26.6964285714286	8.11111111111111	internal		21.25	8.11111111111111
