species	state
175	Neobartsia_inaequalis	0
176	Parentucellia_latifolia	0
177	Bellardia_trixago	0
178	Odontites_glutinosa	0
179	Nothobartsia_asperrima	0
180	Odontitella_virgata	0
181	Hedbergia_decurva	0
182	Tozzia_alpina	0
183	Bartsia_alpina	0
184	Rhinanthus_alectorolophus	0
185	Lathraea_squamaria	0
186	Rhynchocorys_orientalis	0
187	Melampyrum_pratense	0
188	Brandisia_swinglei	0
189	Siphonostegia_laeta	0
190	Monochasma_savatieri	0
191	Cymbaria_mongolica	0
192	Harveya_capensis	0
193	Hyobanche_atropurpurea	0
194	Alectra_orobanchoides	0
195	Melasma_strictum	0
196	Escobedia_grandiflora	0
197	Cycnium_racemosum	0
198	Striga_forbesii	0
199	Buchnera_cryptocephala	0
200	Sopubia_lemuriana	0
201	Micrargeria_filiformis	0
202	Graderia_scabra	0
203	Cyclocheilon_physocalyx	0
204	Asepalum_eriantherum	0
205	Aphyllon_tuberosum	0
206	Boschniakia_himalaica	0
207	Orobanche_caryophyllacea	0
208	Platypholis_boninsimae	0
209	Lindenbergia_siniaca	0
210	Rehmannia_chingii	0
211	Triaenophora_rupestris	0
212	Paulownia_tomentosa	0
213	Erythranthe_gemmipara	0
214	Leucocarpus_perfoliatus	0
215	Diplacus_pictus	0
216	Hemichaena_fruticosa	0
217	Phryma_leptostachya	0
218	Glossostigma_elatinoides	0
219	Elacholoma_prostrata	0
220	Peplidium_foecundum	0
221	Mimulus_gracilis	0
222	Mazus_omeiensis	0
223	Dodartia_orientalis	0
224	Lancea_tibetica	0
225	Strobilanthes_tomentosa	0
226	Ruellia_californica	0
227	Suessenguthia_trochilophila	0
228	Sanchezia_lutea	0
229	Louteridium_chartaceum	0
230	Mimulopsis_arborescens	0
231	Mellera_nyassana	0
232	Petalidium_variabile	0
233	Hemigraphis_hirta	0
234	Dyschoriste_setigera	0
235	Phaulopsis_imbricata	0
236	Ruelliopsis_setosa	0
237	Hygrophila_corymbosa	0
238	Lepidagathis_cuspidata	0
239	Bravaisia_integerrima	0
240	Diceratotheca_bracteolata	0
241	Eranthemum_tetragonum	0
242	Pararuellia_flagelliformis	0
243	Physacanthus_batanganus	0
244	Aphelandra_campanensis	0
245	Holographis_verticillata	0
246	Neriacanthus_grandiflorus	0
247	Geissomeria_longiflora	0
248	Salpixantha_coccinea	0
249	Stenandrium_pilosulum	0
250	Achyrocalyx_decaryi	0
251	Stenandriopsis_afromontana	0
252	Acanthus_leucostachyus	0
253	Acanthopsis_carduifolia	0
254	Blepharis_integrifolia	0
255	Crossandra_pungens	0
256	Crossandrella_dusenii	0
257	Sclerochiton_harveyanus	0
258	Kudoacanthus_albonervosus	0
259	Barleria_ovata	0
260	Lasiocladus_villosus	0
261	Crabbea_velutina	0
262	Phlogacanthus_thyrsiformis	0
263	Pseuderanthemum_latifolium	0
264	Gymnostachyum_ceylanicum	0
265	Andrographis_echioides	0
266	Whitfieldia_elongata	0
267	Camarotea_souiensis	0
268	Chlamydacanthus_lindavianus	0
269	Lankesteria_brevior	0
270	Neuracanthus_umbraticus	0
271	Pachystachys_dubiosa	0
272	Justicia_zopilotensis	0
273	Schaueria_humuliflora	0
274	Thyrsacanthus_ramosissimus	0
275	Fittonia_albivenis	0
276	Tetramerium_glandulosum	0
277	Carlowrightia_texana	0
278	Henrya_insularis	0
279	Chalarothyrsus_amplexicaulis	0
280	Hoverdenia_speciosa	0
281	Trichaulax_mwasumbii	0
282	Chorisochora_transvaalensis	0
283	Ecbolium_syringifolium	0
284	Angkalanthus_oligophylla	0
285	Clinacanthus_nutans	0
286	Chlamydocardia_buettneri	0
287	Anisacanthus_trilobus	0
288	Dicliptera_resupinata	0
289	Hypoestes_aristata	0
290	Rhinacanthus_gracilis	0
291	Poikilacanthus_macranthus	0
292	Megaskepasma_erythrochlamys	0
293	Harpochilus_neesianus	0
294	Duvernoia_extensa	0
295	Rungia_klossii	0
296	Anisotes_galpinii	0
297	Stenostephanus_silvaticus	0
298	Isoglossa_grandiflora	0
299	Ptyssiglottis_pubisepala	0
300	Wuacanthus_microdontus	0
301	Ruttya_fruticosa	0
302	Ruspolia_seticalyx	0
303	Oplonia_microphylla	0
304	Chileranthemum_pyramidatum	0
305	Mackaya_bella	0
306	Asystasia_gangetica	0
307	Herpetacanthus_stenophyllus	0
308	Spathacanthus_parviflorus	0
